DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
148.5,5.406,62.127,31.538,6.011,3.47,0.231,32.656,33.753,61.856,2.006,34.375,2.125
149,5.449,61.777,31.234,5.845,3.464,0.256,30.819,30.484,44.161,2.049,34.863,2.123
149.5,5.496,61.646,31.267,5.767,3.446,0.277,30.006,27.648,25.475,2.064,31.787,2.136
150,5.508,65.911,34.197,6.054,3.597,0.365,30.364,26.354,15.625,2.021,31.934,2.137
150.5,5.535,65.869,33.89,6.098,3.627,0.338,30.939,27.365,15.914,2.059,32.227,2.146
151,5.535,74.613,39.423,6.76,3.992,0.475,30.677,30.572,24.148,2.148,34.961,2.156
151.5,5.555,90.745,45.141,7.503,5.173,0.603,29.596,32.326,49.217,2.156,32.812,2.158
152,5.609,91.49,45.477,7.588,5.219,0.6,28.053,31.378,85.601,2.023,32.666,2.151
152.5,5.449,69.295,40.059,6.911,3.316,0.473,26.773,29.396,88.104,1.902,29.98,2.15
153,5.395,57.123,31.812,5.196,2.871,0.448,26.122,27.088,68.936,1.876,29.248,2.156
153.5,5.496,53.674,29.631,4.908,2.727,0.4,26.185,24.151,50.032,1.917,27.246,2.158
154,5.664,61.549,35.352,5.729,2.971,0.508,26.259,22.38,29.756,2.023,32.569,2.184
154.5,5.855,63.073,36.322,5.921,3.034,0.514,25.934,22.958,17.088,2.043,36.524,2.207
